,Homeowner,Number_of_Children,Income,Gender,Wealth,Avg_Home_Value,Median_Family_Income,Average_Family_Income,Number_of_Promotions,Lifetime_Gifts_TD,Max_Gifts_TD,Recent_Gift,Months_Since_Last_Donation,Timelag,Avg_Gift,Donor,Donation_Amt,Percent_Donation
132,1,1,4,1,9,1523,374,376,72,94.0,10.0,10.0,31,11,6.266666667000001,1,10.0,2.6595744680851063
135,1,1,4,0,8,437,313,363,15,20.0,20.0,20.0,37,5,20.0,1,20.0,5.5096418732782375
141,1,1,4,0,8,869,541,602,69,114.0,7.0,6.0,35,9,5.181818182,1,6.0,0.9966777408637874
142,0,1,3,0,2,674,259,327,36,50.0,12.0,12.0,30,7,8.333333332999999,1,12.0,3.669724770642202
144,1,1,4,1,8,2505,502,580,29,50.0,20.0,15.0,20,3,12.5,1,15.0,2.586206896551724
145,0,1,1,1,3,497,267,325,66,119.0,10.0,6.0,29,4,5.666666667,1,7.0,2.1538461538461537
147,1,1,6,0,8,1311,363,410,15,20.0,20.0,20.0,37,5,20.0,1,20.0,4.878048780487805
149,0,1,1,1,8,1596,171,218,47,91.0,6.0,5.0,17,1,5.055555556,1,5.0,2.293577981651376
153,0,1,1,0,8,409,294,337,55,67.0,6.0,6.0,30,6,3.722222222,1,5.0,1.483679525222552
154,1,1,4,0,7,1749,624,685,59,128.0,7.0,5.0,28,3,5.12,1,5.0,0.7299270072992701
155,1,1,4,0,4,679,432,448,77,140.5,10.0,10.0,37,8,5.403846154,1,7.0,1.5625
156,1,1,4,1,8,824,290,375,49,41.0,5.0,5.0,30,3,3.727272727,1,1.0,0.26666666666666666
157,1,1,7,0,8,1324,568,599,36,68.0,10.0,5.0,31,13,5.666666667,1,25.0,4.173622704507513
159,1,1,6,0,9,3538,759,817,135,555.0,15.0,10.0,18,6,6.098901099,1,10.0,1.2239902080783354
160,0,1,3,0,8,1692,388,440,57,104.0,12.0,12.0,30,5,8.666666667000001,1,11.0,2.5
163,1,1,6,0,5,1430,336,457,58,74.0,10.0,6.0,34,8,6.166666667,1,6.0,1.312910284463895
167,1,1,4,0,8,2962,613,709,64,111.0,15.0,15.0,28,13,10.09090909,1,10.0,1.4104372355430184
171,1,1,4,1,4,718,308,332,68,159.0,5.0,5.0,30,5,3.6136363639999995,1,4.0,1.2048192771084338
172,1,1,4,0,1,1348,361,454,98,214.5,15.0,10.0,19,3,6.9193548389999995,1,10.0,2.2026431718061676
175,0,1,3,0,7,1122,441,545,83,275.0,17.0,15.0,37,6,10.57692308,1,15.0,2.7522935779816518
176,1,1,4,1,8,1030,291,307,17,20.0,20.0,20.0,36,5,20.0,1,20.0,6.514657980456026
180,1,1,4,1,4,2835,545,570,64,89.0,12.0,12.0,34,1,6.846153846,1,16.0,2.807017543859649
182,1,1,5,1,9,1174,582,619,64,81.0,7.0,7.0,28,5,3.857142857,1,5.0,0.8077544426494345
184,1,1,3,0,4,543,282,335,77,213.0,7.0,5.0,32,2,5.071428571,1,5.0,1.4925373134328357
185,1,1,6,0,8,600,277,307,21,34.0,12.0,12.0,30,5,11.33333333,1,11.0,3.5830618892508146
188,1,1,5,0,8,877,454,482,16,20.0,20.0,20.0,37,5,20.0,1,30.0,6.224066390041494
190,1,1,4,1,3,878,415,430,58,85.0,7.0,5.0,31,2,4.473684211,1,4.0,0.9302325581395349
199,0,1,3,1,8,2492,358,377,62,104.0,25.0,10.0,17,10,11.55555556,1,19.0,5.039787798408488
200,1,1,2,1,9,976,578,563,70,189.0,25.0,22.0,37,5,17.18181818,1,23.0,4.085257548845471
201,1,1,7,0,8,938,492,536,20,25.0,20.0,20.0,31,6,12.5,1,11.0,2.0522388059701493
205,1,1,4,1,8,903,457,503,63,122.0,13.0,13.0,31,3,8.133333333,1,14.0,2.783300198807157
211,0,1,1,1,8,729,390,424,48,142.0,20.0,18.0,28,2,15.77777778,1,17.0,4.009433962264151
213,1,1,5,0,8,3695,452,491,51,82.0,8.0,7.0,28,37,5.466666667,1,5.0,1.0183299389002036
216,1,1,5,1,8,687,365,463,32,44.0,6.0,6.0,31,5,4.4,1,5.0,1.079913606911447
219,0,1,2,0,8,1557,317,393,32,44.0,7.0,7.0,28,6,5.5,1,5.0,1.2722646310432568
222,1,1,6,0,8,1464,308,380,28,51.0,10.0,10.0,28,2,7.285714286,1,10.0,2.631578947368421
223,1,1,2,1,2,417,251,240,43,85.0,10.0,5.0,31,6,6.538461539,1,8.0,3.3333333333333335
224,1,1,6,0,5,1760,388,485,68,142.0,20.0,20.0,37,7,11.83333333,1,15.0,3.0927835051546393
226,1,1,7,1,5,486,321,353,83,227.0,10.0,5.0,28,3,5.279069767,1,7.0,1.9830028328611897
230,1,1,6,1,8,843,314,328,21,28.0,11.0,7.0,29,1,7.0,1,7.0,2.1341463414634148
236,1,1,5,0,3,772,269,309,108,315.0,35.0,20.0,29,17,26.25,1,25.0,8.090614886731391
237,0,1,1,1,8,765,361,393,26,36.0,16.0,16.0,29,8,12.0,1,13.0,3.307888040712468
239,1,1,1,1,4,1368,318,499,51,79.0,20.0,20.0,30,17,13.16666667,1,20.0,4.008016032064128
244,1,1,5,0,8,665,501,534,31,60.0,20.0,20.0,28,9,15.0,1,20.0,3.7453183520599254
248,1,1,3,1,7,637,317,338,83,214.0,14.0,5.0,17,23,8.916666667000001,1,5.0,1.4792899408284024
249,1,1,4,0,7,1634,522,526,102,378.0,25.0,13.0,30,6,12.6,1,15.0,2.8517110266159698
253,1,1,5,0,1,503,229,299,62,88.0,7.0,6.0,32,5,5.5,1,6.0,2.0066889632107023
258,1,1,2,1,1,1351,426,429,71,151.0,25.0,5.0,19,8,6.04,1,5.0,1.1655011655011656
263,1,1,4,1,6,769,426,406,51,138.0,16.0,14.0,37,9,9.2,1,14.0,3.4482758620689653
264,1,1,5,1,7,888,363,383,78,183.0,10.0,10.0,28,9,7.038461539,1,12.0,3.1331592689295036
265,0,1,1,1,5,1058,264,329,74,185.0,12.0,12.0,31,6,8.043478261,1,12.0,3.64741641337386
267,1,1,4,1,8,852,372,454,26,32.0,10.0,10.0,32,2,6.4,1,8.0,1.762114537444934
270,0,1,1,0,3,505,264,299,73,87.0,6.0,5.0,31,5,3.782608696,1,5.0,1.6722408026755853
271,1,1,1,1,0,707,168,279,91,511.0,22.0,13.0,31,6,9.462962962999999,1,11.0,3.942652329749104
274,1,1,4,0,8,572,411,406,23,49.0,17.0,17.0,29,6,16.33333333,1,16.0,3.9408866995073892
276,1,1,2,1,0,171,106,137,57,53.0,5.0,3.0,31,5,3.3125,1,4.0,2.9197080291970803
279,1,1,2,1,7,433,318,309,74,180.0,25.0,10.0,37,10,11.25,1,10.0,3.2362459546925564
280,1,1,5,1,8,1485,647,688,22,22.0,10.0,7.0,31,4,7.333333333,1,11.0,1.5988372093023258
281,1,1,2,0,6,759,371,408,58,112.0,17.0,11.0,31,12,7.466666667,1,9.0,2.2058823529411766
282,1,1,4,1,8,722,188,251,42,45.0,7.0,4.0,29,4,4.090909091,1,2.0,0.796812749003984
284,1,1,4,1,8,314,250,279,54,54.0,6.0,6.0,28,12,3.857142857,1,5.0,1.7921146953405016
287,1,1,4,0,8,668,243,291,53,141.0,20.0,15.0,34,3,15.66666667,1,20.0,6.872852233676976
289,1,1,3,0,8,913,299,403,35,83.0,15.0,15.0,31,1,11.85714286,1,10.0,2.481389578163772
291,1,1,4,1,3,1467,360,456,83,350.0,25.0,25.0,29,2,15.2173913,1,25.0,5.482456140350877
292,1,1,7,0,8,394,260,297,27,29.0,10.0,6.0,31,4,5.8,1,6.0,2.0202020202020203
297,1,1,4,0,8,1138,575,577,24,35.0,11.0,10.0,28,6,8.75,1,16.0,2.772963604852686
299,1,1,7,0,9,948,565,595,71,222.0,20.0,15.0,30,4,11.1,1,15.0,2.5210084033613445
300,0,1,4,1,8,583,284,326,24,31.0,7.0,5.0,29,4,5.166666667,1,7.0,2.147239263803681
301,1,1,5,0,8,792,354,361,53,102.0,24.0,24.0,36,4,11.33333333,1,10.0,2.7700831024930745
302,1,1,7,1,9,1790,601,630,77,150.0,10.0,10.0,29,4,6.0,1,10.0,1.5873015873015872
303,1,1,4,0,4,1182,386,471,46,80.0,15.0,15.0,29,16,11.42857143,1,15.0,3.1847133757961785
304,1,1,4,0,8,639,261,280,58,95.0,8.0,7.0,30,6,6.333333333,1,9.0,3.214285714285714
308,1,1,4,0,8,0,0,0,57,75.77,15.77,14.0,34,6,9.47125,1,12.0,inf
312,1,1,3,1,8,2173,505,568,53,220.0,30.0,15.0,28,5,20.0,1,10.0,1.7605633802816902
313,0,1,3,0,0,500,221,325,81,192.0,7.0,5.0,29,5,4.923076923,1,5.0,1.5384615384615385
314,1,1,3,0,6,1342,488,503,40,215.0,20.0,14.0,29,5,11.94444444,1,20.0,3.9761431411530817
315,1,1,5,0,7,1300,454,447,68,147.0,12.0,10.0,29,1,9.1875,1,10.0,2.237136465324385
317,1,1,4,1,8,1212,216,261,21,70.0,50.0,50.0,32,5,35.0,1,25.0,9.578544061302683
318,0,1,4,0,8,508,239,292,29,29.0,6.0,5.0,29,4,4.833333333,1,5.0,1.7123287671232876
320,0,1,1,1,1,633,252,295,55,69.0,25.0,15.0,32,5,9.857142857000001,1,13.0,4.406779661016949
321,1,1,1,1,1,353,255,286,53,105.0,15.0,15.0,35,5,8.076923077,1,20.0,6.993006993006993
323,1,1,5,1,5,2241,428,470,95,150.0,20.0,20.0,22,12,13.63636364,1,30.0,6.382978723404255
324,1,1,4,1,6,277,147,160,84,435.0,17.0,11.0,30,9,9.0625,1,20.0,12.5
326,1,1,4,1,2,317,228,238,40,112.0,20.0,10.0,29,8,8.0,1,5.0,2.100840336134454
328,1,1,4,1,4,1701,377,440,38,108.0,15.0,10.0,29,3,6.352941177000001,1,3.0,0.6818181818181818
330,1,1,7,0,7,984,389,446,62,96.0,16.0,15.0,33,5,13.71428571,1,15.0,3.3632286995515694
332,1,1,6,0,8,1195,619,639,19,30.0,7.0,7.0,31,2,6.0,1,6.0,0.9389671361502347
336,1,1,6,1,2,756,279,318,114,241.0,16.0,15.0,17,19,9.269230769,1,10.0,3.1446540880503147
337,1,1,6,1,8,2658,621,665,76,414.0,20.0,15.0,37,5,11.18918919,1,15.0,2.2556390977443606
339,1,1,5,1,3,511,297,330,43,161.0,31.0,28.0,31,2,17.88888889,1,25.0,7.575757575757576
341,1,1,2,1,8,422,289,319,23,26.0,15.0,15.0,37,2,8.666666667000001,1,32.0,10.031347962382444
342,0,1,7,0,8,1628,695,774,15,20.0,20.0,20.0,37,5,20.0,1,20.0,2.5839793281653747
348,1,1,4,0,7,607,406,359,70,179.0,23.0,23.0,37,16,16.27272727,1,23.0,6.406685236768802
352,1,1,4,1,9,4330,1500,1236,67,76.0,7.0,3.0,29,8,4.222222222,1,5.0,0.40453074433656955
354,1,1,4,0,8,852,401,438,22,33.0,10.0,7.0,28,3,6.6,1,12.0,2.73972602739726
355,1,1,4,0,4,1194,389,413,74,283.0,15.0,10.0,31,2,9.75862069,1,10.0,2.4213075060532687
359,1,1,4,1,8,2017,358,359,23,40.0,20.0,20.0,36,6,20.0,1,25.0,6.963788300835655
360,1,1,2,0,8,1024,601,635,27,36.0,11.0,10.0,29,5,9.0,1,10.0,1.574803149606299
364,1,1,4,1,8,367,207,232,16,15.0,15.0,15.0,37,5,15.0,1,15.0,6.4655172413793105
370,1,1,2,1,8,913,488,495,65,76.0,10.0,5.0,28,11,5.846153846,1,6.0,1.2121212121212122
371,1,1,4,0,8,785,315,332,25,48.0,20.0,20.0,32,8,16.0,1,20.0,6.024096385542169
372,1,1,5,1,8,1831,244,334,24,45.0,15.0,15.0,35,6,15.0,1,15.0,4.491017964071856
374,1,1,2,0,4,639,308,313,53,107.0,12.0,12.0,31,5,8.916666667000001,1,10.0,3.1948881789137378
376,1,1,6,1,7,2160,508,519,70,119.0,20.0,15.0,32,2,10.81818182,1,11.0,2.119460500963391
377,1,1,4,1,5,531,357,404,35,58.0,15.0,10.0,31,7,9.666666667000001,1,5.0,1.2376237623762376
379,1,1,4,0,3,1766,333,416,74,183.0,26.0,26.0,32,4,14.07692308,1,25.0,6.009615384615385
381,1,1,3,1,0,350,195,227,59,86.0,11.0,11.0,29,6,7.818181817999999,1,5.0,2.2026431718061676
385,1,1,5,1,8,928,429,449,24,45.0,25.0,25.0,33,9,22.5,1,30.0,6.6815144766147
387,1,1,2,0,6,732,372,429,43,181.0,20.0,18.0,29,8,11.3125,1,17.0,3.9627039627039626
389,1,1,7,0,8,2171,606,654,46,149.0,25.0,16.0,29,0,11.46153846,1,14.0,2.1406727828746175
395,0,1,3,1,8,1194,360,400,32,30.0,10.0,8.0,32,5,5.0,1,7.0,1.7500000000000002
396,0,1,2,0,8,705,305,312,17,25.0,15.0,15.0,30,6,12.5,1,12.0,3.8461538461538463
397,1,1,4,1,5,1508,304,331,100,280.0,30.0,10.0,29,2,10.0,1,7.0,2.1148036253776437
398,1,1,2,1,2,657,236,251,68,101.0,10.0,10.0,31,8,7.214285714,1,10.0,3.9840637450199203
401,1,1,5,0,8,527,438,451,78,217.0,20.0,20.0,31,7,12.05555556,1,20.0,4.434589800443459
402,0,1,1,0,8,553,219,262,56,67.0,12.0,12.0,31,5,7.444444444,1,11.0,4.198473282442748
405,0,1,7,1,9,1611,580,635,102,254.0,25.0,15.0,17,3,11.54545455,1,14.0,2.204724409448819
408,1,1,5,0,8,1015,385,416,32,55.0,10.0,10.0,30,4,7.857142857,1,10.0,2.403846153846154
410,0,1,3,1,8,691,405,379,43,54.0,8.0,7.0,29,17,6.0,1,7.0,1.8469656992084433
415,1,1,4,1,8,1905,534,569,46,43.0,7.0,5.0,30,15,4.777777778,1,5.0,0.8787346221441126
416,1,1,4,1,7,3991,605,630,53,64.0,10.0,10.0,30,9,4.571428571,1,10.0,1.5873015873015872
418,1,1,1,1,0,1243,148,223,66,85.0,5.0,3.0,26,12,3.035714286,1,3.0,1.345291479820628
419,0,1,1,0,8,1219,563,649,20,22.0,10.0,10.0,31,3,7.333333333,1,10.0,1.5408320493066257
420,0,1,1,1,6,2343,472,498,75,125.5,12.0,10.0,29,9,7.84375,1,11.0,2.208835341365462
424,1,1,6,1,8,3848,399,523,30,120.0,35.0,25.0,32,6,24.0,1,31.0,5.927342256214149
428,1,1,5,1,8,1611,318,351,31,29.0,10.0,5.0,28,12,5.8,1,11.0,3.133903133903134
429,1,1,7,1,9,5843,1500,1133,129,333.0,25.0,16.0,29,12,12.80769231,1,21.0,1.8534863195057367
431,0,1,3,0,8,793,283,342,98,223.0,25.0,15.0,28,8,14.86666667,1,10.0,2.923976608187134
433,1,1,2,1,4,860,381,456,73,190.0,8.0,6.0,32,6,5.9375,1,4.0,0.8771929824561403
435,1,1,3,1,8,277,194,228,31,45.0,25.0,5.0,19,5,15.0,1,5.0,2.1929824561403506
436,1,1,4,1,8,2111,330,394,51,44.0,5.0,3.0,28,1,4.0,1,4.0,1.015228426395939
440,1,1,4,1,8,487,200,302,73,132.0,10.0,6.0,31,11,6.6,1,15.0,4.966887417218543
442,1,1,5,1,9,2290,465,562,107,470.0,35.0,35.0,21,2,22.38095238,1,33.0,5.871886120996441
446,1,1,4,0,7,750,412,443,66,168.0,25.0,15.0,28,7,12.92307692,1,15.0,3.3860045146726865
448,1,1,5,1,8,628,257,300,56,121.0,11.0,5.0,18,5,8.642857142999999,1,15.0,5.0
449,1,1,5,0,8,728,429,457,29,75.0,15.0,10.0,31,2,10.71428571,1,11.0,2.4070021881838075
450,1,1,4,0,6,1129,417,438,69,241.0,25.0,25.0,30,3,15.0625,1,50.0,11.415525114155251
451,1,1,3,0,5,1852,407,461,43,47.0,5.0,5.0,30,4,4.272727273,1,11.0,2.386117136659436
453,1,1,4,1,8,732,291,335,25,22.0,10.0,10.0,33,6,5.5,1,12.0,3.582089552238806
456,1,1,5,0,9,3299,311,343,81,102.5,8.0,3.0,25,9,3.1060606060000002,1,4.0,1.1661807580174928
458,1,1,4,0,8,1045,388,384,32,40.0,20.0,20.0,37,17,20.0,1,35.0,9.114583333333332
459,1,1,5,0,8,2246,542,640,45,42.0,6.0,6.0,31,14,3.8181818180000002,1,5.0,0.78125
465,1,1,6,1,8,1215,488,507,17,25.0,25.0,25.0,37,5,25.0,1,25.0,4.930966469428008
467,1,1,4,0,8,2215,472,520,50,54.0,6.0,6.0,30,7,4.5,1,5.0,0.9615384615384616
468,1,1,3,0,8,729,211,254,81,205.0,8.0,4.0,28,6,5.0,1,4.0,1.574803149606299
470,0,1,2,1,4,703,274,388,38,130.0,30.0,30.0,29,1,13.0,1,30.0,7.731958762886598
473,1,1,4,1,8,628,243,282,21,25.0,10.0,5.0,28,1,8.333333332999999,1,10.0,3.546099290780142
475,1,1,3,0,8,472,300,311,13,15.0,15.0,15.0,32,5,15.0,1,15.0,4.823151125401929
477,1,1,4,1,8,1058,353,398,44,58.0,6.0,4.0,28,4,3.411764706,1,1.0,0.25125628140703515
478,1,1,4,0,8,1538,647,674,21,33.0,8.0,6.0,28,3,6.6,1,10.0,1.483679525222552
479,1,1,4,1,8,2228,379,397,29,35.0,10.0,8.0,28,7,7.0,1,5.0,1.2594458438287155
480,0,1,2,0,8,2748,411,522,69,159.0,40.0,13.0,27,7,13.25,1,12.0,2.2988505747126435
481,1,1,4,1,8,881,508,514,29,36.0,14.0,9.0,35,14,7.2,1,10.0,1.9455252918287937
483,0,1,5,1,8,1709,316,367,80,282.0,21.0,19.0,33,8,13.42857143,1,19.0,5.177111716621254
484,1,1,4,1,8,717,321,362,19,23.0,11.0,7.0,28,6,7.666666667,1,9.0,2.4861878453038675
486,0,1,2,1,1,439,260,301,96,159.0,11.0,10.0,18,3,7.571428571,1,10.0,3.322259136212625
491,1,1,2,1,5,954,332,386,53,122.0,10.0,5.0,29,2,6.1,1,10.0,2.5906735751295336
496,0,1,2,1,8,324,204,245,34,45.0,7.0,7.0,28,6,3.75,1,4.0,1.6326530612244898
497,1,1,2,1,8,723,494,511,30,41.0,7.0,3.0,31,7,3.727272727,1,2.0,0.3913894324853229
498,1,1,4,0,8,1707,469,523,83,214.0,17.0,17.0,34,3,10.7,1,16.0,3.0592734225621414
501,1,1,6,1,9,5359,1109,1051,54,246.0,100.0,50.0,37,10,30.75,1,100.0,9.514747859181732
504,0,1,2,1,1,1038,254,304,58,101.0,10.0,6.0,33,4,5.6111111110000005,1,10.0,3.289473684210526
508,1,1,6,0,9,4967,1500,1217,47,89.0,27.0,27.0,37,26,22.25,1,20.0,1.6433853738701727
511,0,1,1,0,8,606,224,238,21,30.0,10.0,10.0,31,5,10.0,1,10.0,4.201680672268908
515,1,1,3,1,1,664,326,355,68,194.0,12.0,10.0,30,7,8.434782608999999,1,10.0,2.8169014084507045
516,1,1,7,0,3,589,268,300,49,83.0,15.0,15.0,29,5,11.85714286,1,20.0,6.666666666666667
518,1,1,5,1,8,1138,647,663,29,47.0,10.0,10.0,29,1,7.833333333,1,5.0,0.7541478129713424
522,0,1,2,0,4,651,330,361,70,92.0,5.0,5.0,28,8,4.8421052630000005,1,5.0,1.3850415512465373
524,1,1,4,1,1,553,188,226,74,279.0,12.0,5.0,28,7,7.75,1,5.0,2.2123893805309733
526,1,1,4,0,8,684,243,307,15,15.0,15.0,15.0,37,5,15.0,1,5.0,1.6286644951140066
529,1,1,6,0,7,1891,534,525,90,331.0,25.0,25.0,23,11,19.47058824,1,20.0,3.8095238095238098
531,1,1,1,0,8,287,173,221,19,20.0,15.0,15.0,28,14,10.0,1,15.0,6.787330316742081
533,1,1,4,0,2,537,248,307,75,266.0,11.0,8.0,19,3,7.823529412,1,7.0,2.2801302931596092
536,1,1,6,1,5,2375,416,454,47,90.0,20.0,19.0,32,9,12.85714286,1,25.0,5.506607929515418
538,0,1,5,0,8,511,243,305,27,35.0,14.0,14.0,31,4,8.75,1,20.0,6.557377049180328
